keywords,bid,views,clicks,conversions,total costs
graph paper notebook,21,4912,508.0,61.0,10668.0
graph paper notebook,21,4657,482.0,58.0,10122.0
personalized notebook,22,1255,203.0,26.0,4466.0
academic planner notebook,26,4152,352.0,31.0,9152.0
academic planner notebook,26,3827,324.0,29.0,8424.0
hardcover notebook,19,4199,440.0,59.0,8360.0
softcover notebook,19,1837,152.0,16.0,2888.0
travelers notebook,19,3962,544.0,40.0,10336.0
leather cover notebook,23,3282,204.0,20.0,4692.0
spiral bound notebook,22,1552,269.0,16.0,5918.0
large notebook,15,1180,113.0,8.0,1695.0
college ruled notebook,23,1156,171.0,13.0,3933.0
engineering notebook,21,2477,284.0,17.0,5964.0
art sketchbook,15,1570,153.0,11.0,2295.0
hardcover notebook,19,1856,195.0,26.0,3705.0
dotted grid notebook,21,2784,203.0,29.0,4263.0
notebook with pockets,22,2727,532.0,37.0,11704.0
waterproof notebook,20,2047,380.0,31.0,7600.0
hardcover notebook,19,2496,262.0,35.0,4978.0
kids notebook,14,2423,303.0,15.0,4242.0
large notebook,15,3995,383.0,27.0,5745.0
softcover notebook,19,1591,132.0,14.0,2508.0
travelers notebook,19,3181,437.0,32.0,8303.0
personalized notebook,22,1420,229.0,29.0,5038.0
recycled paper notebook,24,3260,428.0,33.0,10272.0
softcover notebook,19,3947,327.0,35.0,6213.0
notebook with pen holder,25,3529,339.0,46.0,8475.0
graph paper notebook,21,1347,139.0,17.0,2919.0
personalized notebook,22,1165,188.0,24.0,4136.0
notebook with pen holder,25,1936,186.0,25.0,4650.0
spiral bound notebook,22,1347,233.0,13.0,5126.0
notebook with pen holder,25,3896,374.0,51.0,9350.0
art sketchbook,15,1397,136.0,10.0,2040.0
leather cover notebook,23,1582,98.0,10.0,2254.0
dotted grid notebook,21,3773,275.0,40.0,5775.0
spiral bound notebook,22,4506,781.0,45.0,17182.0
notebook with pockets,22,2600,507.0,35.0,11154.0
dotted grid notebook,21,4292,313.0,45.0,6573.0
kids notebook,14,1307,164.0,8.0,2296.0
engineering notebook,21,4038,463.0,27.0,9723.0
academic planner notebook,26,3845,326.0,29.0,8476.0
softcover notebook,19,4768,396.0,42.0,7524.0
academic planner notebook,26,3766,319.0,28.0,8294.0
waterproof notebook,20,3513,652.0,53.0,13040.0
large notebook,15,1098,105.0,8.0,1575.0
graph paper notebook,21,2265,234.0,28.0,4914.0
art sketchbook,15,1157,113.0,8.0,1695.0
college ruled notebook,23,3657,539.0,40.0,12397.0
leather cover notebook,23,1553,97.0,10.0,2231.0
hardcover notebook,19,1650,173.0,23.0,3287.0
plain paper,12,4866,533.0,60.0,6396.0
recycled paper notebook,24,3967,521.0,41.0,12504.0
art sketchbook,15,3274,319.0,23.0,4785.0
academic planner notebook,26,3470,294.0,26.0,7644.0
leather cover notebook,23,4143,257.0,25.0,5911.0
kids notebook,14,3290,412.0,21.0,5768.0
kids notebook,14,3577,448.0,23.0,6272.0
art sketchbook,15,4660,454.0,32.0,6810.0
hardcover notebook,19,2068,217.0,29.0,4123.0
notebook with pockets,22,2495,486.0,34.0,10692.0
travelers notebook,19,3418,469.0,35.0,8911.0
notebook with pockets,22,2878,561.0,39.0,12342.0
academic planner notebook,26,3699,314.0,28.0,8164.0
kids notebook,14,3736,467.0,24.0,6538.0
plain paper,12,1733,190.0,21.0,2280.0
dotted grid notebook,21,2950,215.0,31.0,4515.0
large notebook,15,1091,105.0,8.0,1575.0
kids notebook,14,4093,512.0,26.0,7168.0
softcover notebook,19,3219,267.0,29.0,5073.0
graph paper notebook,21,2627,272.0,33.0,5712.0
notebook with pockets,22,2215,432.0,30.0,9504.0
leather cover notebook,23,2100,131.0,13.0,3013.0
leather cover notebook,23,2304,143.0,14.0,3289.0
graph paper notebook,21,2387,247.0,30.0,5187.0
large notebook,15,1178,113.0,8.0,1695.0
leather cover notebook,23,3285,204.0,20.0,4692.0
leather cover notebook,23,4206,261.0,26.0,6003.0
recycled paper notebook,24,3924,515.0,40.0,12360.0
recycled paper notebook,24,3949,518.0,40.0,12432.0
college ruled notebook,23,1279,189.0,14.0,4347.0
notebook with pockets,22,2042,398.0,28.0,8756.0
waterproof notebook,20,2618,486.0,39.0,9720.0
dotted grid notebook,21,3787,276.0,40.0,5796.0
waterproof notebook,20,1370,254.0,21.0,5080.0
kids notebook,14,2800,350.0,18.0,4900.0
college ruled notebook,23,4183,617.0,46.0,14191.0
academic planner notebook,26,4834,410.0,36.0,10660.0
academic planner notebook,26,4747,402.0,36.0,10452.0
spiral bound notebook,22,3917,679.0,39.0,14938.0
kids notebook,14,2703,338.0,17.0,4732.0
notebook with pockets,22,4066,793.0,55.0,17446.0
notebook with pen holder,25,3268,314.0,43.0,7850.0
plain paper,12,3967,435.0,49.0,5220.0
notebook with pen holder,25,1303,125.0,17.0,3125.0
vintage notebook,17,4774,310.0,19.0,5270.0
plain paper,12,2348,257.0,29.0,3084.0
large notebook,15,2460,236.0,17.0,3540.0
art sketchbook,15,3485,340.0,24.0,5100.0
personalized notebook,22,2193,354.0,45.0,7788.0
kids notebook,14,3422,428.0,22.0,5992.0
personalized notebook,22,4628,747.0,94.0,16434.0
leather cover notebook,23,3428,213.0,21.0,4899.0
notebook with pockets,22,4033,786.0,55.0,17292.0
softcover notebook,19,3061,254.0,27.0,4826.0
hardcover notebook,19,3790,397.0,53.0,7543.0
hardcover notebook,19,1668,175.0,24.0,3325.0
leather cover notebook,23,1499,93.0,9.0,2139.0
waterproof notebook,20,4717,876.0,71.0,17520.0
plain paper,12,2414,264.0,30.0,3168.0
travelers notebook,19,2572,353.0,26.0,6707.0
college ruled notebook,23,3612,533.0,40.0,12259.0
vintage notebook,17,1529,99.0,6.0,1683.0
graph paper notebook,21,3006,311.0,37.0,6531.0
plain paper,12,3539,388.0,44.0,4656.0
graph paper notebook,21,4621,478.0,57.0,10038.0
art sketchbook,15,4770,465.0,33.0,6975.0
plain paper,12,4456,488.0,55.0,5856.0
art sketchbook,15,2219,216.0,15.0,3240.0
hardcover notebook,19,1754,184.0,25.0,3496.0
college ruled notebook,23,3347,494.0,37.0,11362.0
plain paper,12,1814,199.0,23.0,2388.0
engineering notebook,21,3594,412.0,24.0,8652.0
graph paper notebook,21,1726,179.0,21.0,3759.0
kids notebook,14,1730,216.0,11.0,3024.0
hardcover notebook,19,1827,191.0,26.0,3629.0
recycled paper notebook,24,3649,479.0,37.0,11496.0
college ruled notebook,23,2331,344.0,26.0,7912.0
notebook with pockets,22,3046,594.0,42.0,13068.0
leather cover notebook,23,4323,269.0,27.0,6187.0
spiral bound notebook,22,4079,707.0,41.0,15554.0
recycled paper notebook,24,3815,501.0,39.0,12024.0
notebook with pockets,22,1874,365.0,26.0,8030.0
recycled paper notebook,24,4279,562.0,44.0,13488.0
notebook with pockets,22,3984,777.0,54.0,17094.0
engineering notebook,21,3178,364.0,21.0,7644.0
leather cover notebook,23,4807,299.0,29.0,6877.0
plain paper,12,4780,524.0,59.0,6288.0
graph paper notebook,21,3003,311.0,37.0,6531.0
plain paper,12,2677,293.0,33.0,3516.0
academic planner notebook,26,4835,410.0,36.0,10660.0
travelers notebook,19,1607,221.0,16.0,4199.0
travelers notebook,19,3073,422.0,31.0,8018.0
softcover notebook,19,4694,389.0,42.0,7391.0
travelers notebook,19,2477,340.0,25.0,6460.0
college ruled notebook,23,1634,241.0,18.0,5543.0
hardcover notebook,19,2209,232.0,31.0,4408.0
softcover notebook,19,1483,123.0,13.0,2337.0
travelers notebook,19,3727,512.0,38.0,9728.0
softcover notebook,19,2074,172.0,18.0,3268.0
notebook with pen holder,25,2914,280.0,38.0,7000.0
spiral bound notebook,22,3052,529.0,31.0,11638.0
notebook with pen holder,25,1588,152.0,21.0,3800.0
spiral bound notebook,22,4231,733.0,42.0,16126.0
large notebook,15,3255,312.0,22.0,4680.0
large notebook,15,3304,317.0,23.0,4755.0
art sketchbook,15,2228,217.0,15.0,3255.0
college ruled notebook,23,4838,714.0,54.0,16422.0
college ruled notebook,23,2973,439.0,33.0,10097.0
leather cover notebook,23,3058,190.0,19.0,4370.0
art sketchbook,15,1948,190.0,13.0,2850.0
recycled paper notebook,24,3055,401.0,31.0,9624.0
graph paper notebook,21,4480,463.0,55.0,9723.0
kids notebook,14,3983,498.0,25.0,6972.0
leather cover notebook,23,3079,191.0,19.0,4393.0
dotted grid notebook,21,3007,219.0,32.0,4599.0
personalized notebook,22,3587,579.0,73.0,12738.0
waterproof notebook,20,2741,509.0,41.0,10180.0
plain paper,12,4052,444.0,50.0,5328.0
notebook with pockets,22,1386,270.0,19.0,5940.0
waterproof notebook,20,2251,418.0,34.0,8360.0
academic planner notebook,26,3687,312.0,28.0,8112.0
dotted grid notebook,21,2790,204.0,29.0,4284.0
hardcover notebook,19,2498,262.0,35.0,4978.0
hardcover notebook,19,4795,503.0,68.0,9557.0
travelers notebook,19,4822,662.0,49.0,12578.0
softcover notebook,19,1206,100.0,11.0,1900.0
notebook with pockets,22,4389,856.0,60.0,18832.0
spiral bound notebook,22,2818,488.0,28.0,10736.0
kids notebook,14,2780,348.0,18.0,4872.0
notebook with pen holder,25,3604,346.0,47.0,8650.0
notebook with pockets,22,4688,914.0,64.0,20108.0
large notebook,15,3395,325.0,23.0,4875.0
engineering notebook,21,1792,205.0,12.0,4305.0
hardcover notebook,19,3281,344.0,46.0,6536.0
hardcover notebook,19,2724,285.0,38.0,5415.0
waterproof notebook,20,4115,764.0,62.0,15280.0
waterproof notebook,20,2005,372.0,30.0,7440.0
plain paper,12,3784,414.0,47.0,4968.0
academic planner notebook,26,1941,165.0,15.0,4290.0
waterproof notebook,20,2165,402.0,33.0,8040.0
college ruled notebook,23,4719,696.0,52.0,16008.0
vintage notebook,17,3223,209.0,13.0,3553.0
large notebook,15,2677,257.0,18.0,3855.0
hardcover notebook,19,1448,152.0,20.0,2888.0
waterproof notebook,20,1591,295.0,24.0,5900.0
travelers notebook,19,1081,148.0,11.0,2812.0
hardcover notebook,19,3182,333.0,45.0,6327.0
academic planner notebook,26,4790,406.0,36.0,10556.0
art sketchbook,15,3903,380.0,27.0,5700.0
graph paper notebook,21,4248,439.0,53.0,9219.0
large notebook,15,2406,231.0,17.0,3465.0
college ruled notebook,23,4314,636.0,48.0,14628.0
hardcover notebook,19,4638,486.0,65.0,9234.0
leather cover notebook,23,4212,262.0,26.0,6026.0
recycled paper notebook,24,2480,326.0,25.0,7824.0
vintage notebook,17,3487,226.0,14.0,3842.0
notebook with pockets,22,2079,405.0,28.0,8910.0
vintage notebook,17,4598,299.0,18.0,5083.0
personalized notebook,22,3744,604.0,76.0,13288.0
notebook with pockets,22,4897,955.0,67.0,21010.0
academic planner notebook,26,1418,120.0,11.0,3120.0
engineering notebook,21,1087,125.0,7.0,2625.0
spiral bound notebook,22,4680,811.0,47.0,17842.0
recycled paper notebook,24,3703,486.0,38.0,11664.0
large notebook,15,4079,391.0,28.0,5865.0
dotted grid notebook,21,4548,332.0,48.0,6972.0
academic planner notebook,26,1214,103.0,9.0,2678.0
art sketchbook,15,4756,464.0,33.0,6960.0
hardcover notebook,19,2758,289.0,39.0,5491.0
spiral bound notebook,22,3599,623.0,36.0,13706.0
hardcover notebook,19,2520,264.0,35.0,5016.0
plain paper,12,2717,298.0,34.0,3576.0
hardcover notebook,19,3550,372.0,50.0,7068.0
notebook with pen holder,25,4853,466.0,64.0,11650.0
notebook with pen holder,25,3746,359.0,49.0,8975.0
notebook with pockets,22,3292,642.0,45.0,14124.0
personalized notebook,22,2501,404.0,51.0,8888.0
college ruled notebook,23,1308,193.0,14.0,4439.0
recycled paper notebook,24,1230,161.0,13.0,3864.0
dotted grid notebook,21,4454,325.0,47.0,6825.0
leather cover notebook,23,1154,72.0,7.0,1656.0
graph paper notebook,21,2198,227.0,27.0,4767.0
engineering notebook,21,3895,447.0,26.0,9387.0
plain paper,12,1114,122.0,14.0,1464.0
academic planner notebook,26,2413,205.0,18.0,5330.0
graph paper notebook,21,1310,136.0,16.0,2856.0
leather cover notebook,23,1992,124.0,12.0,2852.0
kids notebook,14,3347,419.0,21.0,5866.0
graph paper notebook,21,2041,211.0,25.0,4431.0
graph paper notebook,21,3831,396.0,47.0,8316.0
softcover notebook,19,1011,84.0,9.0,1596.0
spiral bound notebook,22,2427,420.0,24.0,9240.0
travelers notebook,19,4884,670.0,50.0,12730.0
dotted grid notebook,21,4775,348.0,50.0,7308.0
large notebook,15,3279,314.0,23.0,4710.0
college ruled notebook,23,4002,590.0,44.0,13570.0
notebook with pen holder,25,4676,449.0,62.0,11225.0
leather cover notebook,23,3013,187.0,18.0,4301.0
spiral bound notebook,22,1729,300.0,17.0,6600.0
graph paper notebook,21,2301,238.0,28.0,4998.0
plain paper,12,2376,260.0,29.0,3120.0
engineering notebook,21,4065,466.0,27.0,9786.0
travelers notebook,19,3036,417.0,31.0,7923.0
spiral bound notebook,22,4046,701.0,41.0,15422.0
hardcover notebook,19,3350,351.0,47.0,6669.0
graph paper notebook,21,1540,159.0,19.0,3339.0
notebook with pockets,22,3517,686.0,48.0,15092.0
graph paper notebook,21,3860,399.0,48.0,8379.0
college ruled notebook,23,1076,159.0,12.0,3657.0
plain paper,12,4067,445.0,50.0,5340.0
hardcover notebook,19,4592,481.0,65.0,9139.0
travelers notebook,19,1023,140.0,10.0,2660.0
notebook with pen holder,25,2038,196.0,27.0,4900.0
college ruled notebook,23,1675,247.0,19.0,5681.0
academic planner notebook,26,3572,303.0,27.0,7878.0
personalized notebook,22,3394,548.0,69.0,12056.0
leather cover notebook,23,1171,73.0,7.0,1679.0
graph paper notebook,21,2892,299.0,36.0,6279.0
spiral bound notebook,22,4398,762.0,44.0,16764.0
college ruled notebook,23,3759,555.0,42.0,12765.0
engineering notebook,21,4556,522.0,31.0,10962.0
kids notebook,14,1488,186.0,9.0,2604.0
engineering notebook,21,2485,285.0,17.0,5985.0
notebook with pockets,22,3425,668.0,47.0,14696.0
personalized notebook,22,4659,752.0,95.0,16544.0
hardcover notebook,19,4235,444.0,60.0,8436.0
kids notebook,14,3419,428.0,22.0,5992.0
waterproof notebook,20,4644,862.0,70.0,17240.0
graph paper notebook,21,4047,419.0,50.0,8799.0
leather cover notebook,23,4024,250.0,25.0,5750.0
travelers notebook,19,4495,617.0,46.0,11723.0
spiral bound notebook,22,1756,304.0,18.0,6688.0
academic planner notebook,26,3524,299.0,27.0,7774.0
travelers notebook,19,3429,471.0,35.0,8949.0
large notebook,15,1154,111.0,8.0,1665.0
kids notebook,14,1256,157.0,8.0,2198.0
graph paper notebook,21,2779,288.0,34.0,6048.0
art sketchbook,15,1673,163.0,12.0,2445.0
recycled paper notebook,24,3115,409.0,32.0,9816.0
leather cover notebook,23,3391,211.0,21.0,4853.0
recycled paper notebook,24,4348,571.0,44.0,13704.0
personalized notebook,22,1672,270.0,34.0,5940.0
plain paper,12,3438,377.0,43.0,4524.0
academic planner notebook,26,2472,210.0,19.0,5460.0
notebook with pen holder,25,1258,121.0,17.0,3025.0
plain paper,12,1306,143.0,16.0,1716.0
engineering notebook,21,4918,564.0,33.0,11844.0
kids notebook,14,2118,265.0,13.0,3710.0
leather cover notebook,23,3997,248.0,24.0,5704.0
dotted grid notebook,21,4535,331.0,48.0,6951.0
notebook with pockets,22,4017,783.0,55.0,17226.0
dotted grid notebook,21,1245,91.0,13.0,1911.0
travelers notebook,19,3780,519.0,38.0,9861.0
hardcover notebook,19,2658,279.0,38.0,5301.0
graph paper notebook,21,1186,123.0,15.0,2583.0
large notebook,15,2797,268.0,19.0,4020.0
notebook with pockets,22,1924,375.0,26.0,8250.0
leather cover notebook,23,1784,111.0,11.0,2553.0
personalized notebook,22,4444,717.0,90.0,15774.0
art sketchbook,15,2595,253.0,18.0,3795.0
waterproof notebook,20,4477,831.0,67.0,16620.0
travelers notebook,19,3455,474.0,35.0,9006.0
dotted grid notebook,21,4196,306.0,44.0,6426.0
plain paper,12,2360,259.0,29.0,3108.0
personalized notebook,22,1340,216.0,27.0,4752.0
large notebook,15,1562,150.0,11.0,2250.0
large notebook,15,4249,407.0,29.0,6105.0
kids notebook,14,1650,206.0,10.0,2884.0
notebook with pen holder,25,3999,384.0,53.0,9600.0
notebook with pen holder,25,4910,471.0,65.0,11775.0
travelers notebook,19,2193,301.0,22.0,5719.0
dotted grid notebook,21,4110,300.0,43.0,6300.0
leather cover notebook,23,1068,66.0,7.0,1518.0
waterproof notebook,20,4307,800.0,65.0,16000.0
large notebook,15,2583,248.0,18.0,3720.0
leather cover notebook,23,3428,213.0,21.0,4899.0
leather cover notebook,23,3104,193.0,19.0,4439.0
college ruled notebook,23,2300,339.0,25.0,7797.0
waterproof notebook,20,3897,723.0,59.0,14460.0
spiral bound notebook,22,2122,368.0,21.0,8096.0
academic planner notebook,26,1915,162.0,14.0,4212.0
recycled paper notebook,24,4598,604.0,47.0,14496.0
art sketchbook,15,3372,329.0,23.0,4935.0
notebook with pen holder,25,1460,140.0,19.0,3500.0
notebook with pen holder,25,3226,310.0,42.0,7750.0
vintage notebook,17,1843,120.0,7.0,2040.0
notebook with pen holder,25,1573,151.0,21.0,3775.0
waterproof notebook,20,1118,208.0,17.0,4160.0
college ruled notebook,23,4540,670.0,50.0,15410.0
graph paper notebook,21,3596,372.0,44.0,7812.0
kids notebook,14,1645,206.0,10.0,2884.0
hardcover notebook,19,2478,260.0,35.0,4940.0
kids notebook,14,3073,385.0,19.0,5390.0
notebook with pockets,22,2513,490.0,34.0,10780.0
kids notebook,14,3031,379.0,19.0,5306.0
hardcover notebook,19,2031,213.0,29.0,4047.0
plain paper,12,1968,216.0,24.0,2592.0
waterproof notebook,20,3010,559.0,45.0,11180.0
notebook with pen holder,25,2539,244.0,33.0,6100.0
notebook with pen holder,25,3580,344.0,47.0,8600.0
college ruled notebook,23,4998,737.0,55.0,16951.0
vintage notebook,17,3196,208.0,13.0,3536.0
college ruled notebook,23,2511,370.0,28.0,8510.0
graph paper notebook,21,2048,212.0,25.0,4452.0
graph paper notebook,21,1654,171.0,20.0,3591.0
large notebook,15,4828,463.0,33.0,6945.0
vintage notebook,17,2954,192.0,12.0,3264.0
college ruled notebook,23,3992,589.0,44.0,13547.0
notebook with pen holder,25,1554,149.0,20.0,3725.0
recycled paper notebook,24,1424,187.0,15.0,4488.0
engineering notebook,21,1292,148.0,9.0,3108.0
hardcover notebook,19,2208,231.0,31.0,4389.0
hardcover notebook,19,3601,377.0,51.0,7163.0
kids notebook,14,1430,179.0,9.0,2506.0
engineering notebook,21,3651,419.0,25.0,8799.0
vintage notebook,17,1316,85.0,5.0,1445.0
spiral bound notebook,22,1397,242.0,14.0,5324.0
graph paper notebook,21,2347,243.0,29.0,5103.0
kids notebook,14,2588,324.0,16.0,4536.0
leather cover notebook,23,1595,99.0,10.0,2277.0
kids notebook,14,3593,450.0,23.0,6300.0
spiral bound notebook,22,3123,541.0,31.0,11902.0
plain paper,12,3912,429.0,49.0,5148.0
recycled paper notebook,24,2943,386.0,30.0,9264.0
leather cover notebook,23,1915,119.0,12.0,2737.0
recycled paper notebook,24,3756,493.0,38.0,11832.0
kids notebook,14,3533,442.0,22.0,6188.0
graph paper notebook,21,4869,504.0,60.0,10584.0
academic planner notebook,26,4159,352.0,31.0,9152.0
hardcover notebook,19,3794,398.0,54.0,7562.0
spiral bound notebook,22,2255,391.0,23.0,8602.0
academic planner notebook,26,4078,346.0,31.0,8996.0
engineering notebook,21,4875,559.0,33.0,11739.0
hardcover notebook,19,3597,377.0,51.0,7163.0
notebook with pen holder,25,1975,190.0,26.0,4750.0
leather cover notebook,23,2075,129.0,13.0,2967.0
hardcover notebook,19,4726,495.0,67.0,9405.0
spiral bound notebook,22,3989,691.0,40.0,15202.0
personalized notebook,22,3966,640.0,81.0,14080.0
academic planner notebook,26,4467,379.0,34.0,9854.0
plain paper,12,2244,246.0,28.0,2952.0
college ruled notebook,23,2451,362.0,27.0,8326.0
college ruled notebook,23,4823,711.0,53.0,16353.0
spiral bound notebook,22,2166,375.0,22.0,8250.0
spiral bound notebook,22,4932,854.0,49.0,18788.0
travelers notebook,19,3028,416.0,31.0,7904.0
leather cover notebook,23,1362,85.0,8.0,1955.0
engineering notebook,21,3429,393.0,23.0,8253.0
travelers notebook,19,4632,636.0,47.0,12084.0
recycled paper notebook,24,4348,571.0,44.0,13704.0
notebook with pen holder,25,3318,318.0,44.0,7950.0
graph paper notebook,21,4085,423.0,51.0,8883.0
graph paper notebook,21,3345,346.0,41.0,7266.0
notebook with pen holder,25,4051,389.0,53.0,9725.0
hardcover notebook,19,4535,475.0,64.0,9025.0
waterproof notebook,20,4598,854.0,69.0,17080.0
travelers notebook,19,1233,169.0,12.0,3211.0
personalized notebook,22,3622,585.0,74.0,12870.0
academic planner notebook,26,2731,231.0,21.0,6006.0
notebook with pen holder,25,1026,98.0,13.0,2450.0
art sketchbook,15,2494,243.0,17.0,3645.0
kids notebook,14,1092,137.0,7.0,1918.0
hardcover notebook,19,3664,384.0,52.0,7296.0
notebook with pen holder,25,1308,126.0,17.0,3150.0
travelers notebook,19,1051,144.0,11.0,2736.0
personalized notebook,22,1318,213.0,27.0,4686.0
personalized notebook,22,2992,483.0,61.0,10626.0
spiral bound notebook,22,1180,204.0,12.0,4488.0
softcover notebook,19,2592,215.0,23.0,4085.0
spiral bound notebook,22,4191,726.0,42.0,15972.0
leather cover notebook,23,4891,304.0,30.0,6992.0
leather cover notebook,23,3922,244.0,24.0,5612.0
notebook with pen holder,25,4114,395.0,54.0,9875.0
recycled paper notebook,24,1646,216.0,17.0,5184.0
notebook with pockets,22,4956,966.0,68.0,21252.0
